suburb_id,suburb_name,centroid_lat,centroid_lon,area_sqkm,total_pop,median_hhd_inc_weekly,median_rent_weekly,median_age,median_sale_price_12m,n_sales_12m,price_5yr_cagr,offences_12mo,crime_per_1000,distance_km,commute_minutes_cbd,affordability_raw,commute_raw,growth_raw,lifestyle_raw,affordability_norm,commute_norm,lifestyle_norm,growth_norm
10002,Abbotsbury,-33.86511253949993,150.85951323550012,4.9788,4200,2621,550,42,1820000.0,50,0.051630055289057175,86,20.476190476190478,32.0853567296636,48.1280350944954,-0.34065934065934067,-48.1280350944954,0.051630055289057175,0.49194126396722015,22.816304645925438,52.5872571529348,68.28325198501736,66.64666175562583
10003,Abbotsford (NSW),-33.850507398999945,151.12987942850003,1.018,5431,2263,550,47,1650000.0,135,-0.00270517941147963,134,24.673172528079544,7.542336675306594,11.313505012959892,-0.2727272727272727,-11.313505012959892,-0.00270517941147963,0.23029329815323968,26.26019656461118,90.64968911363334,63.035576951314724,46.86484059776184
10014,Acacia Gardens,-33.73409461849997,150.9137709700001,1.0013,3668,2796,540,36,1290500.0,105,0.023321346720830194,62,16.902944383860415,31.18449705209978,46.77674557814967,-0.07012785741960481,-46.77674557814967,0.023321346720830194,0.6303060759388437,36.53119979398828,53.984351320949486,71.05833019771276,56.34031425950973
10021,Agnes Banks,-33.616545514499975,150.6991028760001,15.475,996,2454,440,38,1350000.0,15,-0.06802018170216217,56,56.22489959839357,54.93854086948066,82.40781130422098,-0.1111111111111111,-82.40781130422098,-0.06802018170216217,0.1375099945047749,34.45350805743216,17.145499599031748,61.17469251987734,23.085617017321617
10022,Airds,-34.08591924899993,150.83302730000003,2.3806,3265,944,220,29,901500.0,116,0.07498206232922167,508,155.5895865237366,41.8143490937092,62.721523640563795,0.33111480865224624,-62.721523640563795,0.07498206232922167,-1.5276750195022173,56.872644080633656,37.4990932235368,27.777338188015914,75.14842363245731
10030,Alexandria,-33.908190300999976,151.1919149415001,3.537,9649,2654,560,34,1110000.0,631,-0.00470755436513981,938,97.21214633640791,4.139775951677125,6.209663927515687,0.08108108108108109,-6.209663927515687,-0.00470755436513981,-0.014308554365169146,44.196905508354405,95.92653506610611,58.1297828983587,46.1358362336029
10031,Alfords Point,-33.98787787049994,151.02589649500004,2.5665,3131,2969,768,43,1900000.0,47,0.03496752704080697,51,16.288725646758223,21.01804278386594,31.527064175798913,-0.3684210526315789,-31.527064175798913,0.03496752704080697,0.747021388933926,21.40889370701981,69.75095107147646,73.39920081044488,60.58033746971111
10036,Allambie Heights,-33.770185734499975,151.24964977750005,6.6746,7317,2890,600,43,2612500.0,84,0.0011522980457667753,102,13.940139401394013,12.105815055504111,18.158722583256168,-0.5406698564593302,-18.158722583256168,0.0011522980457667753,0.7118035559745013,12.676548563355345,83.57243924928541,72.69286341474857,48.269231866158925
10038,Allawah,-33.97293596349998,151.11424615950006,0.5837,5351,1774,428,36,840000.0,165,0.029175070127108294,98,18.3143337693889,14.011559838454172,21.017339757681256,0.42857142857142855,-21.017339757681256,0.029175070127108294,-0.04394436850306166,61.81331607810222,80.616923547679,57.53539982539631,58.47147850622369
10049,Ambarvale,-34.08898506449994,150.7940848650001,2.848,7254,1431,350,34,896000.0,147,0.03621374620677287,539,74.3038323683485,45.001166527690174,67.50174979153526,0.3392857142857143,-67.50174979153526,0.03621374620677287,-0.652012199462267,57.28687725115312,32.556831778799264,45.339843993745205,61.03404830395173
10060,Angus,-33.684404349999966,150.83343182350006,6.0899,384,1890,350,45,187000.0,17,,63,,40.39433546274779,60.591503194121685,5.4171122994652405,-60.591503194121685,,-0.4547431995340169,100.0,39.70131495876037,49.29631888024575,
